instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 79934 nodes",-41.0,-41.00000885,-43.0,2.0,0.04878048780487805,1,0,1,79934,28,-43.00000000000001,-42.99999999999999,0.0000,60.158585,60.0005062,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 62386 nodes",-15.999999999999995,-16.00000000000012,-20.0,4.000000000000005,0.25000000000000044,1,0,1,62386,0,-20.02139037433155,-20.02139037433155,0.0000,60.149592,60.0005955,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,183,35,6875.0,7155.0,0.3784,1.436008,1.3090783,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 85936 nodes",18.000000000000018,11.0,5.0946079531175945,12.905392046882422,0.7169662248268005,0,0,1,85936,0,0.0,0.0,0.0000,60.123857,60.0001593,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 49558 nodes",3832.0,3663.999999980964,3461.453315982263,370.5466840177369,0.09669798643469125,0,0,1,49558,23,3157.377442025726,3176.664832812793,0.0286,60.115081,60.0005083,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 64064 nodes",3319.0,3252.0,3089.6779609279615,229.32203907203848,0.06909371469479918,0,0,1,64064,23,2691.439468864469,2785.5366048439582,0.1499,60.121992,60.0000861,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 69308 nodes",14.999999999999998,14.99999999990919,14.0,0.9999999999999982,0.06666666666666655,1,0,1,69308,0,13.244444444444444,13.244444444444444,0.0000,60.133883,60.0001958,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,55,29,272.00000000000017,273.5,0.0937,0.501114,0.4134605,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,101,66,272.0,275.0,0.1875,0.936269,0.8441613,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 36957 nodes",1294399.99999962,764771.99999978,311490.99999990006,982908.9999997199,0.7593549134734305,0,0,1,36957,375,28693.99999999998,243080.2079988252,0.1694,60.136526,59.9999646,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
