instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
scsd8,2090a22840fe2c75730cd76336702ece7c27a739d58740926b67c4b2e57b8e5c,397,2750,8584,optimal,,904.999999925465,904.99999993,4.5349679567152634e-09,5.011014317200038e-12,1,1,,1,0.0,0,0.10242,0.0771516,1302,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
sctap1,2b1ab5950d3e37fd21327892e2bc830c5f0d8d3fc1f687c0f57a5cdefd9caa21,300,480,1692,optimal,,1412.25,1412.25,0.0,0.0,1,1,,1,0.0,0,0.02449,0.005287,253,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
sctap2,673d50e3b929f83b1719d28ee09500890294107099518161bcf2a4f452e95fb2,1090,1880,6714,optimal,,1724.8071428571432,1724.8071429,4.285675458959304e-08,2.4847273369668418e-11,1,1,,1,0.0,0,0.0452,0.0241552,738,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
sctap3,44e105b02a722bf19292b8aeb4779480c4eb81f40da35d64d8f4534f85000168,1480,2480,8874,optimal,,1424.0,1424.0,0.0,0.0,1,1,,1,0.0,0,0.066464,0.044616,1111,simplex-dual+primal,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
seba,539733cdb036e2d2e8e80e7ea1666848b6b67a36a34b1c6cf9a883e1c868ef1e,515,1028,4352,optimal,,15711.599999999999,15711.6,1.8189894035458565e-12,1.1577365790536013e-16,1,1,,1,0.0,0,0.027476,0.0090541,439,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
share1b,fafdf8b5e3d50d27f5eff40e46eb104d1e614bf2721cb5be38081f1678dbd562,117,225,1151,optimal,,-76589.31857918552,-76589.318579,1.85522367246449e-07,2.4223007945303396e-12,1,1,,1,0.0,0,0.019335,0.002892,136,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,optimal,,-415.7322407414192,-415.73224074,1.4192096386977937e-09,3.4137589044612273e-12,1,1,,1,0.0,0,0.019721,0.0024107,133,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
shell,e21331e8282f8d8616cbee27e093e50d140ea03f9bc3fd0b6da0ccff638d2f91,536,1775,3556,optimal,,1208825346.0,1208825346.0,0.0,0.0,1,1,,1,0.0,0,0.03285,0.0138046,463,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
ship04l,e7c46bfd6492a400220cf1f5f093f264901fd0e8534dd8cbb060d491612dc881,402,2118,6332,optimal,,1793324.5379703562,1793324.538,2.9643764719367027e-05,1.6530061397825488e-11,1,1,,1,0.0,0,0.031735,0.0112544,449,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
ship04s,2ed2828b251173a05004349121cd9a271a3434bf2efe4e1b70d7e0bdf2d76f94,402,1458,4352,optimal,,1798714.7004453922,1798714.7004,4.5392196625471115e-05,2.5235906848026957e-11,1,1,,1,0.0,0,0.027691,0.0062047,297,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
ship08l,58b6142628facaa1b056f32f9f47167097db66825f0c6b42c6f65e4da1b5da07,778,4283,12802,optimal,,1909055.211389131,1909055.2114,1.0869000107049942e-05,5.6933922299078996e-12,1,1,,1,0.0,0,0.059916,0.028659,743,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
ship08s,bdf5671548dde27b0d83c244914036e58081c4683786b2fd132277f577c9a7d8,778,2387,7114,optimal,,1920098.2105346182,1920098.2105,3.461819142103195e-05,1.8029385805227774e-11,1,1,,1,0.0,0,0.0336,0.0111485,422,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
ship12l,87bf21f83ae0c5a87aa73ee2d8e2bd4a6a72b3c6cbdc603853dbb7b43b824911,1151,5427,16170,optimal,,1470187.919329266,1470187.9193,2.926611341536045e-05,1.9906375934101617e-11,1,1,,1,0.0,0,0.073944,0.0442092,1064,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
ship12s,43bacbc026b0b5588ed9bec06b11fadfbff8beb19b4e84881370a57cc6540e5d,1151,2763,8178,optimal,,1489236.1344061326,1489236.1344,6.132526323199272e-06,4.1179005676423585e-12,1,1,,1,0.0,0,0.043189,0.0155292,589,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
sierra,dbabb4bb56b9de7efbca7df842922c7c1ef620bcbee2aeb28f4bf3c5a3868cc9,1227,2036,7302,optimal,,15394362.183631925,15394362.184,0.0003680754452943802,2.3909756110385417e-11,1,1,,1,0.0,0,0.045623,0.0228792,552,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
stair,30a16ec0d02cf6c490495340d2a718f533d8e5d88f839693eb4bc06671bd8649,356,467,3856,optimal,,-251.2669511929633,-251.26695119,2.9633042686327826e-09,1.17934501716146e-11,1,1,,1,0.0,0,0.037725,0.0167255,446,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
standata,a513e8587cb8d72ac1f6fb07b33642a212f55646fb2c04521cdfd04b959c6fb1,359,1075,3031,optimal,,1257.6995000000002,1257.6995,2.2737367544323206e-13,1.8078537476021266e-16,1,1,,1,0.0,0,0.024415,0.0030284,58,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
standmps,93bd6bc6251b7fee0f943e1c69a7b7e836b4b34e4c011c1a871be66a1cb7e00d,467,1075,3679,optimal,,1406.0175000000002,1406.0175,2.2737367544323206e-13,1.617146838095771e-16,1,1,,1,0.0,0,0.025688,0.0058517,203,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
