instance,instance_sha256,rows,cols,nnz,engine,two_matvec,iterations_requested,iterations,status,objective,reference_objective,absolute_gap,relative_gap,solver_seconds,wall_seconds,short_iterations,short_solver_seconds,seconds_per_iteration,ratio_to_three_products,repeats,algorithm_ran,solver_options,git_commit,machine,gpu,timestamp_utc
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,cpu,false,10000,10000,iteration_limit,-52.20178040216921,-52.202061212,0.0002808098307838236,5.379286263111622e-06,0.023658,0.210051,2000,0.004714,2.368073e-06,1.0000,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,cpu,true,10000,10000,iteration_limit,-52.20100175683933,-52.202061212,0.0010594551606644131,2.0295274478948543e-05,0.019261,0.114142,2000,0.003982,1.909867e-06,0.8065,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,cuda,false,10000,10000,iteration_limit,-52.20280117743094,-52.202061212,0.000739965430945233,1.4175023241709329e-05,0.61541,0.925152,2000,0.220169,4.940515e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,cuda,true,10000,10000,iteration_limit,-52.20201440059547,-52.202061212,4.6811404523339206e-05,8.967347923912704e-07,0.526819,0.858465,2000,0.202764,4.050689e-05,0.8199,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,cpu,false,10000,10000,iteration_limit,-41125.501070314735,-41131.976219,6.475148685261956,0.00015742371946308057,0.026424,0.143817,2000,0.005671,2.594089e-06,1.0000,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,cpu,true,10000,10000,iteration_limit,-41125.143330597246,-41131.976219,6.832888402750541,0.00016612108220548472,0.022209,0.253417,2000,0.004747,2.180256e-06,0.8405,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,cuda,false,10000,10000,iteration_limit,-41125.33854650373,-41131.976219,6.637672496268351,0.00016137499596244117,0.604431,0.78915,2000,0.33316,3.411690e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,cuda,true,10000,10000,iteration_limit,-41129.20993853926,-41131.976219,2.766280460738926,6.725376981670783e-05,0.513808,0.683843,2000,0.280394,2.917674e-05,0.8552,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,cpu,false,10000,10000,iteration_limit,-896628.9383128196,-896644.82186,15.883547180448659,1.7714424701075984e-05,0.058349,0.195466,2000,0.012626,5.715401e-06,1.0000,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,cpu,true,10000,10000,iteration_limit,-896665.854685445,-896644.82186,21.03282544494141,2.345725412355688e-05,0.045063,0.162026,2000,0.009824,4.409023e-06,0.7714,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,cuda,false,10000,10000,iteration_limit,-896647.9071848503,-896644.82186,3.085324850282632,3.4409665623032694e-06,0.627437,0.907386,2000,0.219562,5.091650e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,cuda,true,10000,10000,iteration_limit,-896585.867274867,-896644.82186,58.954585133004,6.575020977727682e-05,0.594274,0.903487,2000,0.212082,4.331914e-05,0.8508,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_200x200,12407efbae3a0cb8eceebc1ae692d9ab2454ac3e5045012b104106ed10b54c1d,200,200,1000,cpu,false,10000,10000,iteration_limit,15285.000014424319,15285.0,1.442431857867632e-05,9.436911075352516e-10,0.051181,0.172858,2000,0.010312,4.960197e-06,1.0000,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_200x200,12407efbae3a0cb8eceebc1ae692d9ab2454ac3e5045012b104106ed10b54c1d,200,200,1000,cpu,true,10000,10000,iteration_limit,15284.999964327295,15285.0,3.5672705053002574e-05,2.333837425777074e-09,0.03881,0.206325,2000,0.008191,3.828918e-06,0.7719,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_200x200,12407efbae3a0cb8eceebc1ae692d9ab2454ac3e5045012b104106ed10b54c1d,200,200,1000,cuda,false,10000,10000,iteration_limit,15284.99999206273,15285.0,7.937269401736557e-06,5.192848807155092e-10,0.611594,0.814174,2000,0.222242,4.866899e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_200x200,12407efbae3a0cb8eceebc1ae692d9ab2454ac3e5045012b104106ed10b54c1d,200,200,1000,cuda,true,10000,10000,iteration_limit,15285.000083127159,15285.0,8.312715908687096e-05,5.438479495379192e-09,0.589456,0.778433,2000,0.216947,4.656362e-05,0.9567,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_500x500,d91169d75e5d3233c7d0d44799d64173b1698078a5aee2a4408b088dc3cbc6cf,500,500,2500,cpu,false,10000,10000,iteration_limit,40595.99994142154,40596.0,5.857845826540142e-05,1.4429613327766632e-09,0.119105,0.241297,2000,0.024648,1.176068e-05,1.0000,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_500x500,d91169d75e5d3233c7d0d44799d64173b1698078a5aee2a4408b088dc3cbc6cf,500,500,2500,cpu,true,10000,10000,iteration_limit,40596.00006117191,40596.0,6.117190787335858e-05,1.5068456959640995e-09,0.091691,0.216305,2000,0.019257,9.054184e-06,0.7699,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_500x500,d91169d75e5d3233c7d0d44799d64173b1698078a5aee2a4408b088dc3cbc6cf,500,500,2500,cuda,false,10000,10000,iteration_limit,40595.99995486098,40596.0,4.513902240432799e-05,1.1119081289863037e-09,0.615106,0.881361,2000,0.218339,4.912751e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_500x500,d91169d75e5d3233c7d0d44799d64173b1698078a5aee2a4408b088dc3cbc6cf,500,500,2500,cuda,true,10000,10000,iteration_limit,40595.999992131234,40596.0,7.86876626079902e-06,1.9383107352446106e-10,0.59416,0.784389,2000,0.323795,3.377359e-05,0.6875,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_1000x1000,bbddacd7757bec2f722e037d7a21f3018b276106281b192d56c7aa1565fcb419,1000,1000,5000,cpu,false,10000,5840,optimal,84140.0000000001,84140.0,1.0186340659856796e-10,1.2106418659207032e-15,0.138893,0.260834,2000,0.048721,2.342947e-05,1.0000,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_1000x1000,bbddacd7757bec2f722e037d7a21f3018b276106281b192d56c7aa1565fcb419,1000,1000,5000,cpu,true,10000,6040,optimal,84140.00000000016,84140.0,1.6007106751203537e-10,1.902437217875391e-15,0.111502,0.252161,2000,0.038123,1.816304e-05,0.7752,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_1000x1000,bbddacd7757bec2f722e037d7a21f3018b276106281b192d56c7aa1565fcb419,1000,1000,5000,cuda,false,10000,4840,optimal,84139.99999999997,84140.0,2.9103830456733704e-11,3.4589767597734377e-16,0.421302,0.612201,2000,0.254402,3.818339e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
