instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,reference_objective,absolute_gap,relative_gap,matches_reference,primal_residual,dual_residual,duality_gap,primal_residual_rel,dual_residual_rel,duality_gap_rel,success_rel_1e-6,success_rel_1e-9,success_abs_1e-6,success_abs_1e-9,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
liswet6,a1c3d6f698ed8f953fc09e00d43c1dde185521d709eed239caf4073a748fe7f3,10000,10002,30000,time_limit,"stopped at the time limit of 29.998s after 30.00s, 170130 iterations, 0 nodes",24.995673594471555,24.995748,7.440552844428794e-05,2.976727419571038e-06,0,4.469484793379053e-08,8.343934508550643e-05,4.280235316400649e-05,4.070260113750124e-08,7.597551089516538e-05,1.712387534107334e-06,0,0,0,0,,,0,30.19839,29.998153477,170130,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
liswet7,4c296e3070c9e118c56953e0da746cda5a64becaf0524bfc3b914b7bd2e01382,10000,10002,30000,time_limit,"stopped at the time limit of 29.9979s after 30.00s, 171750 iterations, 0 nodes",25.00276172889653,498.84089,473.83812827110347,0.9498782833762955,0,9.8676914639384e-08,0.00042628634615621275,0.003590221955164452,9.8676914639384e-08,0.0003875365650198754,0.00014357239961361622,0,0,0,0,,,0,30.244389,29.998106918,171750,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
liswet8,3dadc3345ccefc5b83d03e48c36ae94fb97713c5b8db058db040729cf99c8abc,10000,10002,30000,time_limit,"stopped at the time limit of 29.998s after 30.00s, 171487 iterations, 0 nodes",25.002731336018314,7144.7006,7119.697868663981,0.9965005207725544,0,3.946964188816793e-07,0.004077512266323233,0.04205085155172128,3.946964188816793e-07,0.003706863031775955,0.0016790264429849646,0,0,0,0,,,0,30.241736,29.998318793,171487,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
liswet9,1f9daaac30cddc5850ab9786ba95e7d3254236cb3845db069235fb535dfdf4e9,10000,10002,30000,time_limit,"stopped at the time limit of 29.998s after 30.00s, 172429 iterations, 0 nodes",25.0033601311834,1963.2513,1938.2479398688165,0.9872643099071507,0,1.5780113457042333e-06,0.3121535984222861,0.8719265915888172,1.5779189457684873e-06,0.2838224422380809,0.03369727264978503,0,0,0,0,,,0,30.207822,29.998275665,172429,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
lotschd,244445062ce2ea8f1d09e289bfeea4632b094d5fc83bab3b85de81718369e8eb,7,12,54,feasible,"the in-process KKT check does not back the optimal claim (complementary slackness: |multiplier| * slack = 1.855e-06 on column 0); reported as feasible, not optimal (#590)",2398.4159305010958,2398.4159,3.050109580726712e-05,1.2717183790879271e-08,0,8.866735985435525e-07,7.613805022010922e-07,2.336084162379848e-05,7.031511493047979e-09,1.0652594670070623e-08,9.740112766394839e-09,0,0,0,0,1,,0,0.169582,0.000504365,800,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
mosarqp1,13213429760482316673222bfe3398789c2e9de7b6c13f70c6561d000bc1243d,700,2500,3422,feasible,"the in-process KKT check does not back the optimal claim (dual feasibility (columns): 4.058e-07 (4.058e-07 relative) on column 208); reported as feasible, not optimal (#590)",-952.8754430502513,-952.87544,3.0502512800012482e-06,3.201101793536885e-09,0,9.545481738371109e-08,6.544058537283348e-07,8.137703844113275e-10,4.9413517224712246e-08,2.407426217050248e-07,8.540154858075371e-13,0,0,0,0,1,,0,0.321119,0.058023129,1800,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
mosarqp2,172a6418e163901ccf0cd9e62dd5b1284bec1bc9fd05a5c161af3191ed6730e9,600,900,2930,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 1.204e-07 (1.204e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",-1597.4821102312678,-1597.4821,1.0231267879134975e-05,6.404621296936583e-09,0,,,,,,,0,0,0,0,,,0,0.183725,0.013268534,800,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
powell20,560eab097cfe1fb9dc5b3887112f0de7e89026b396f3969bdfcbca577b700f82,10000,10000,20000,feasible,"the in-process KKT check does not back the optimal claim (complementary slackness: |multiplier| * slack = 3.985e-01 on row 0); reported as feasible, not optimal (#590)",52089583618.76324,52089583000.0,618.7632369995117,1.1878828766963093e-08,0,6.366644811350852e-08,7.656635716557503e-07,800.2235260009766,6.366963159468299e-12,1.0209868608807563e-10,1.536244812125408e-08,0,0,0,0,1,,0,28.260897,28.012962534,177000,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
primal1,16c6658468f80c73bf380857bb8e3ff15e312a0a4d9e632f9f7aa794bf771b91,85,325,5815,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 5.843e-07 (5.843e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",-0.0350129332351795,-0.035012965,3.176482050309959e-08,3.176482050309959e-08,0,,,,,,,0,0,0,0,,,0,0.184177,0.008071259,750,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
primal2,4c1ea1a6fdf9f7e56b7bab418c6eaf9f380517cb074adec08d74935394147004,96,649,8042,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 3.842e-07 (3.842e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",-0.03373366149393334,-0.033733676,1.4506066660369132e-08,1.4506066660369132e-08,0,,,,,,,0,0,0,0,,,0,0.180763,0.009507791,550,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
primal3,2e757c606cf382d7ad1de072f25bf563b75e96e95b61af5438fa5c87348f47fb,111,745,21547,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 7.983e-07 (7.983e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",-0.1357556370496213,-0.13575584,2.0295037869710875e-07,2.0295037869710875e-07,0,,,,,,,0,0,0,0,,,0,0.272447,0.016957825,500,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
primal4,c893496757b40cfccb2203fd82dac1ad56496947e4d9ed2739c9f70c8a65c927,75,1489,16031,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 3.414e-07 (3.414e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",-0.7460908645232132,-0.74609083,3.452321317709561e-08,3.452321317709561e-08,0,,,,,,,0,0,0,0,,,0,0.180314,0.013497426,350,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
