instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads,restarts,reduced_cost_fixings
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 89622 nodes",12506.0,11392.99999884458,7472.025024096384,5033.974975903616,0.4025247861749253,0,0,1,89622,20,3320.7709999999997,3936.4309606105603,0.0670,60.057121,60.0008826,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 138325 nodes",29.00000000000038,0.9999999999990905,0.0,29.00000000000038,1.0,0,0,1,138325,0,0.0,0.0,0.0000,60.043639,60.0002515,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 178682 nodes",7.000000000000043,1.0,0.0,7.000000000000043,1.0,0,0,1,178682,0,0.0,0.0,0.0000,60.045139,60.0007474,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 149807 nodes",19.0,1.0,0.0,19.0,1.0,0,0,1,149807,0,0.0,0.0,0.0000,60.045770,60.0002692,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,3175561447.5053167,3175561447.5053167,0.0000,0.036227,0.0034292,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 42175 nodes",12004689.0,11807698.0,10691783.81617053,1312905.1838294696,0.10936603054268791,0,0,1,42175,30,10593526.0,10639973.468922079,0.0329,60.040410,60.0009306,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,optimal,,119.0,119.0,119.0,0.0,0.0,1,1,1,57576,30,100.87875,109.33734570876892,0.4668,45.516130,45.4759773,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 84522 nodes",14818.0,14393.0,11633.0,3185.0,0.21494128762316103,0,0,1,84522,26,8877.000000000002,8877.000000000002,0.0000,60.054982,60.0013592,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,2,-11980000.0,-11980000.0,0.0000,0.037487,0.0049066,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 54247 nodes",15.0,15.0,14.0,1.0,0.06666666666666667,1,0,1,54247,0,13.0,13.0,0.0000,60.038365,60.0002295,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 90855 nodes",-40.0,-41.00000885,-43.0,3.0,0.075,0,0,1,90855,17,-43.00000000000001,-42.999999999999986,0.0000,60.040878,60.0001035,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 80802 nodes",-15.999999999999998,-16.00000000000012,-20.0,4.000000000000002,0.25000000000000017,1,0,1,80802,0,-20.02139037433155,-20.02139037433155,0.0000,60.050546,60.0006726,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,396,9,6875.0,7154.999999999999,0.3784,1.440562,1.4067294,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9998s after 60.01s, 0 iterations, 105887 nodes",14.000000000000085,11.0,5.090740954863109,8.909259045136977,0.6363756460812088,0,0,1,105887,0,0.0,0.0,0.0000,60.080779,60.013018,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,"stopped at the time limit of 59.9993s after 60.00s, 0 iterations, 48519 nodes",3681.0,3663.999999980964,3464.3263125763124,216.67368742368762,0.058862724103147954,0,0,1,48519,23,3157.377442025726,3176.664832812793,0.0368,60.212674,59.9996923,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 80207 nodes",3319.0,3252.0,3142.1506271506278,176.84937284937223,0.053283932765704194,0,0,1,80207,22,2691.439468864469,2785.536604843958,0.1499,60.050381,60.0004781,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 90167 nodes",14.999999999999996,14.99999999990919,14.0,0.9999999999999964,0.06666666666666644,1,0,1,90167,0,13.244444444444444,13.244444444444444,0.0000,60.042390,60.0011718,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,46,27,272.00000000000017,273.5,0.0937,0.313268,0.2788955,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,41,30,272.0,275.0,0.1875,0.257730,0.2321847,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 86171 nodes",1106772.99999961,764771.99999978,296143.99999999994,810628.99999961,0.7324257096982811,0,0,1,86171,30,28693.99999999998,193698.6451612903,0.1531,60.052266,59.999946,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
