instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,reference_objective,absolute_gap,relative_gap,matches_reference,primal_residual,dual_residual,duality_gap,primal_residual_rel,dual_residual_rel,duality_gap_rel,success_rel_1e-6,success_rel_1e-9,success_abs_1e-6,success_abs_1e-9,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
stadat1,fb3be6eb766a90caf69aab2cc1aaab5ae00eaa1fea9cca5610964ee76fc352dc,3999,2001,9997,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",-10183355.172047773,-28526864.0,18343508.82795223,0.643025774860925,0,1.273728338885121,4.625742154312661,8864362.158550803,0.001225601390445331,0.00033431486309676674,0.8704755955956994,0,0,0,0,,,0,34.346398,34.3094119,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
stadat2,c50c6ac0c2a015245660e125b2b4ebdea94ac93069b304cc32acc33507c7aac1,3999,2001,9997,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",-12.530473833864416,-32.626665,20.096191166135586,0.615943773785509,0,0.0025943393916350033,0.01657210371252403,10.758317498485724,0.00010809734520905643,0.01657210371252403,0.8585722807553112,0,0,0,0,,,0,28.368191,28.3283823,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
stadat3,647c4b81834966937eb5a1e5dfdb7d7fc4959636ae3c9836e6f6094c4d5bf516,7999,4001,19997,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",-3.8611223565079236,-35.779453,31.918330643492073,0.8920854839086577,0,0.002091987267959894,0.009994164326676321,3.7571388095752662,0.0004312826213307231,0.009994164326676321,0.9730690878631721,0,0,0,0,,,0,53.526348,53.4743836,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
stcqp1,e28066a2eb935145efdfd10193451c706d588d1f649efa6738a7778dd7071661,2052,4097,13338,optimal,,155143.5547032547,155143.56,0.005296745308442041,3.414092926862089e-08,1,9.710329651468896e-09,0.0,320917.771583269,8.091941376223829e-10,0.0,1.935872644269813,0,0,0,0,0,"[FAIL] complementary slackness     worst |multiplier| * slack = 7.707e+02 on C-----88; [FAIL] strong duality              primal 1.551435547033e+05  dual -1.657742168800e+05  gap 3.209e+05 (relative 2.069e+00), 1.070e+05 of it from per-item violations accepted above",0,1.377429,1.326699,17500,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
stcqp2,ce8f1f486f0503b977a01bf1141417c44825f3b53c0e1369ebfd95f44f559d62,2052,4097,13338,optimal,,22327.313262163876,22327.313,0.0002621638777782209,1.1741846310759425e-08,1,9.955234414604774e-09,0.0,12280.425430817919,8.296028678581433e-10,0.0,0.5500180557608036,0,0,0,0,0,"[FAIL] complementary slackness     worst |multiplier| * slack = 2.459e+02 on C----146; [FAIL] strong duality              primal 2.232731326216e+04  dual 1.004688783135e+04  gap 1.228e+04 (relative 5.500e-01), 4.093e+03 of it from per-item violations accepted above",0,11.908974,11.8546809,157750,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
tame,1e688c7bcd8e73879463278b9d93d00bf5eecb0acd172aa8a97df4cbe2b5904e,1,2,2,optimal,,0.0,0.0,0.0,0.0,1,3.277571547499747e-10,7.867947404704978e-10,7.867947404704978e-10,3.277571547499747e-10,7.867947404704978e-10,7.867947404704978e-10,1,1,1,1,1,,1,0.018213,0.0005851,200,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
ubh1,5bf03bf108b6470b59fe5c444876793535827fd21e36018c5bb00494255a90c0,12000,18009,48000,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",28.148092172931957,1.1160008,27.03209137293196,24.22228673396288,0,1.6904026898661995e-06,0.0003034722427966239,31.543817088737928,1.596944967412174e-09,0.00016438313633272055,0.528443761958761,0,0,0,0,,,0,146.311475,146.2238123,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
values,e0107957abb7529fbee8b288fb702bd83c6df35a309d3e3b55d344f0f86a5589,1,202,202,model_error,"the quadratic objective is not convex: sparse LDL^T reached -0.000120305 at column 196 (a96) in minimization sense; that exhibits a direction in which the objective curves downward, so the model is no",0.0,-1.3966211,1.3966211,1.0,0,,,,,,,0,0,0,0,,,0,0.027246,0.0005246,0,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
yao,e84d46d76d1bb652cd009625d81f152abe8100a516e206f2d04342a464976a53,2000,2002,6000,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",4.672266627287911,197.70426,193.0319933727121,0.9763673952838047,0,0.0005713492240647655,5.746688921393073e-07,2.069257104942267,0.0005713492240647655,4.838225194762042e-08,0.3069420485831133,0,0,0,0,,,0,20.695988,20.6574015,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
zecevic2,1091fb5c12c4f10718d6fbab35bb8ec701648a289d14977bcb98aa88f02eab01,2,2,4,optimal,,-4.125000007119249,-4.125,7.119249190168375e-09,1.7258785915559697e-09,1,3.5596245950841876e-09,0.0,3.1570106528988617e-09,1.2944089415972635e-09,0.0,7.653359145333927e-10,1,0,1,0,1,,1,0.026706,0.0022532,900,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
